"YearStart","LocationDesc","Data_Value","Data_Value_Footnote","Sample_Size","StratificationCategory1","Stratification1"
2011,"Michigan",28.2,"",2050,"Income","$75,000 or greater"
2011,"Michigan",28.4,"",1329,"Income","Data not reported"
2011,"Michigan",37,"",1145,"Income","Less than $15,000"
2011,"Minnesota",28.7,"",1823,"Income","$15,000 - $24,999"
2011,"Minnesota",27.4,"",1416,"Income","$25,000 - $34,999"
2011,"Minnesota",29.3,"",2042,"Income","$35,000 - $49,999"
2011,"Minnesota",28.9,"",2302,"Income","$50,000 - $74,999"
2011,"Minnesota",22,"",4268,"Income","$75,000 or greater"
2011,"Minnesota",23,"",1625,"Income","Data not reported"
2011,"Minnesota",23.3,"",911,"Income","Less than $15,000"
2011,"Mississippi",39.9,"",1696,"Income","$15,000 - $24,999"
2011,"Mississippi",39.2,"",909,"Income","$25,000 - $34,999"
2011,"Mississippi",33,"",973,"Income","$35,000 - $49,999"
2011,"Mississippi",34.6,"",881,"Income","$50,000 - $74,999"
2011,"Mississippi",29,"",1133,"Income","$75,000 or greater"
2011,"Mississippi",29.2,"",1199,"Income","Data not reported"
2011,"Mississippi",37.6,"",1713,"Income","Less than $15,000"
2011,"Missouri",34.2,"",1115,"Income","$15,000 - $24,999"
2011,"Missouri",31.5,"",680,"Income","$25,000 - $34,999"
2011,"Missouri",30,"",804,"Income","$35,000 - $49,999"
2011,"Missouri",30.7,"",816,"Income","$50,000 - $74,999"
2011,"Missouri",27.6,"",999,"Income","$75,000 or greater"
2011,"Missouri",27,"",905,"Income","Data not reported"
2011,"Missouri",31.8,"",776,"Income","Less than $15,000"
2011,"Montana",25.6,"",1848,"Income","$15,000 - $24,999"
2011,"Montana",27.4,"",1299,"Income","$25,000 - $34,999"
2011,"Montana",23.8,"",1523,"Income","$35,000 - $49,999"
2011,"Montana",24.3,"",1395,"Income","$50,000 - $74,999"
2011,"Montana",21.1,"",1744,"Income","$75,000 or greater"
2011,"Montana",19,"",974,"Income","Data not reported"
2011,"Montana",31.2,"",1099,"Income","Less than $15,000"
2011,"Nebraska",30.4,"",4209,"Income","$15,000 - $24,999"
2011,"Nebraska",30.3,"",2969,"Income","$25,000 - $34,999"
2011,"Nebraska",32.6,"",3794,"Income","$35,000 - $49,999"
